text (S),location (S),phase (S),sentiment (S)
30 doctors posts government hospitals vacant increasing background coronavirus cases day day doctorkarnataka outsourcing doctors requested permanent recruitment must made justiceforcontractdoctors coronawarriorsjusticeforcontractdoctors coronawarriors,bangalore,1,NEUTRAL
aghadi govt start work feild also scaring virus sitting home people go work also say work home like auto taxi also say workfromhome urself want safe life also want safe life,mumbai,1,NEGATIVE
aisea welcomes impact entrepreneurs health tech ed tech agri tech sectors accelerate impact – apply https workbenchprojects com event aisea welcomes impact entrepreneurs health tech ed tech agri tech sectors accelerate impact apply startups incubation hardware innovation fundraise workbenchprojects makersstartups incubation hardware innovation fundraise workbenchprojects makers,bangalore,0,NEUTRAL
amitshah narendramodi caa relaxed give one time amnesty identified illegal migrants create comprehensive national ncr cum npr together decongest asam redistribution asylum seekers across country,delhi,0,NEUTRAL
atlee dir please max share awareness corona biotechnologist stay social distancing way protect us help unlock chennai stay safe divya,chennai,1,NEUTRAL
auraiyapolice hi team please help noida sector 63 amp want go home auraiya amp also vehicle coming due curfew able come please help,delhi,1,NEUTRAL
b h anil kumar ji mask suiting thank god realised hope temporary,bangalore,1,POSITIVE
bachelor alcohol love injurious health winking face smiling face smiling eyes smiling face smiling eyes viraivil varugirom dir sathish directorial axessfilmfactory bouquet smiling face smiling eyes thumbs medium light skin tone folded hands light skin tonebachelor alcohol love axessfilmfactory,chennai,0,POSITIVE
bench led cj datta hearing pil highlighting plight migrants stranded maharashtra bench also noted supremecourt order slamming officeofut govt failing check migrants want go back hometowns fpjindiacj pil migrants maharashtra supremecourt migrants,mumbai,2,NEUTRAL
best life time time hand wash corona viruses protection time time mask used https go onelink app 5134f0ee,kolkata,1,NEUTRAL
better protection dont check evidey protective mask http www evidey super comfy breathable mask comes unique 8 layer protection well follow us link best offers https instagram com evideytalks igshid 11bf6qpuo6bj6 take care stay safe,mumbai,2,POSITIVE
bsybjp account 85 lacs food pkts transit 5 lac migrant labourers amp 2 80 lac grocery kits ಹೆಂಗ್ ನುಂಗ್ ಲೀ bjp4karnataka answer incindia inckarnataka dkshivakumar siddaramaiah rajeevgowda rohanrgupta drpushpaamarnat annatarajgowda,bangalore,2,NEUTRAL
charges covid19 testing 4500 charges quarantine 1500 2000 day charges admission pvt hospital 5l emergency pandemic act invoked pm care funds collected taxes increased petrol liquor feels like taken ride enough jumalebajicovid19,bangalore,1,NEUTRAL
china 3 cities announced past week would stop sale medicines fever cough 2 major symptoms new virus people go hospitals treatment instead self medicating amp staying home covid2019covid2019,hyderabad,0,NEGATIVE
come corona severe italy christ,hyderabad,0,NEUTRAL
cooperation people required says dr askdrshashank important aspect controlling spread virus,mumbai,1,NEUTRAL
coronavirus outbreak updates piyush goyal accuses bengal govt giving permission enough special trains bring stranded people home migrantlabourers migrantworkers karnatakafightscorona freetrains4workers indiafightscovid19 udhavthackeray bhiwandimirror – bhiwandimigrantlabourers migrantworkers karnatakafightscorona freetrains4workers indiafightscovid19 udhavthackeray,mumbai,1,NEUTRAL
coronavirus telanganacmo hyderabad habit spitting roads amp public places rampant spitting causes diseases apart corona virus request cm kcr health minister etelarajender immediately ban public spitting impose heavy penalties defaulterscoronavirus,hyderabad,0,NEUTRAL
correct cancellation pil wud rejected academic loss cbse academic loss,mumbai,1,NEGATIVE
couple questions requires clarity 1 suspected confirmed case covid19 2 kerala good 3 tier health system capable screening cases screening states 3 confident present case immune viruscovid19,delhi,0,NEUTRAL
covid 19 globally killed 33k people perhaps shocking death due covid19 germanycoronavirus thomasschaefer coronavirusoutbreak https amp dw com en german state finance minister thomas sch c3 a4fer found dead 52948976 twitter impression truecovid 19 covid19 germanycoronavirus thomasschaefer coronavirusoutbreak,bangalore,1,NEUTRAL
covid 19 unlock3 guidelines issued home ministry main features aug 5th white heavy check mark gymnasiums white heavy check mark yoga classes white heavy check mark night curfew aug 1 white heavy check mark day celebrations distancing cross mark cinemas cross mark schools cross mark metro railunlock3,hyderabad,2,NEUTRAL
currently paying 270 tax fuel charges since last one week modi government increased rs 4 10 per litre petrol diesel prices respectievely hand sanitizers 18 gst ppe kits 12 gst ventilators 12 gst face mask 5 gst acche din narendramodi,bangalore,1,NEUTRAL
dear ktrtrs telanganacmo ministerktr suggestions covid 19 kindly plan pre exit let continue till may 29 need realaxtions mainly ghmc limits global world saying need deal covid19 1 1,hyderabad,1,NEUTRAL
death nos wrongly reported delhi corona infected nos utter failure delhi 7000 cases mohalla clinics goes toss air safdarjung hospitals deaths heavily reported sanjayazadsln aamaadmiparty arvindkejriwal republic,hyderabad,1,NEGATIVE
demonetization quarantine 2 english words learnt 2k century ’ knew demonetizationquarantine lockdownextension coronaviruslockdown coronavirusindia india covid19 covid19india coronaupdate covid19pandemic indiaunitedagainstcoviddemonetizationquarantine lockdownextension coronaviruslockdown coronavirusindia india covid19 covid19india coronaupdate covid19pandemic indiaunitedagainstcovid,hyderabad,1,NEUTRAL
dont create fear among ordinary indians needs information please circulate helpline covid19 ordinary indians clear doubts everything fear panic,hyderabad,0,NEUTRAL
emoji smiling face smiling eyes lockdown announced face hand mouth pleading face pensive face face medical mask crying face,hyderabad,2,MIXED
even roam long drive meet coffee friends family ’ people need break go time chill relax long day work home office cmomaharashtra authackeray mumbai india lockdown unlock3 mentalhealthmattersmumbai india lockdown unlock3 mentalhealthmatters,mumbai,2,NEUTRAL
feel proud follow biggest star indian cricket send condolences elephant cow tigers send condolences sushant migrants disrespect elephant sushant selective,delhi,1,NEGATIVE
fire fire fire fire shooting chhavi sawhney gupta indias best health fitness expert fire fire fire fire “ training gives us outlet suppressed energies created stress thus tones spirit exercise conditions body ” … https www instagram com p cdpjwkdffug igshid eas3jd4340ic,delhi,2,NEUTRAL
gobar treatment invented coronavirususcoronavirusus,delhi,0,NEUTRAL
govt n public r responsible govt taking strict measures contain people tests give enough training sector wise pockets n shopping areas public r taking seriously still enjoying time distance n mask,delhi,1,NEUTRAL
great job god bless,kolkata,0,POSITIVE
grinning face smiling eyes grinning face smiling eyes grinning face smiling eyes u cant argue educate fools still stuck record due faced loss zero ideas nobody wants bite bullet change useless leadership,mumbai,2,MIXED
gvt risk life students studentslivesmatter gvt greedy thinking financial loss shame students appearing kcet future country postponekcet2020 kcetstudentsinhcforjustice kcet2020studentslivesmatter shame kcet postponekcet2020 kcetstudentsinhcforjustice kcet2020,hyderabad,2,NEUTRAL
happy birthday laal singh chaddha health happiness always allah bless smiling face smiling eyes love aamir sir love,kolkata,0,POSITIVE
health greatest wealth please watch coronavirusupdatecoronavirusupdate,kolkata,0,NEUTRAL
healthcare plan truly starts home ends home apollo pro health plan sure revolutionize health india,mumbai,0,NEUTRAL
hes saint us mask ugliness perpetrates country come better,chennai,0,NEGATIVE
humnn heard recently covid virus india lethal focus already weak immune people healthy heal 2 3 weeks right,delhi,1,NEGATIVE
im sorry loss thank generosity spirit shown even time like truly honour dr mattoo spreading 6ftlove advising socialdistancing6ftlove socialdistancing,mumbai,1,MIXED
job open anyone country really want apply,delhi,0,NEUTRAL
justice today india doctors detained nda murderers called social services ’ believe witnessing real must day dreaming say democracy freedrkafeelfreedrkafeel,mumbai,0,NEGATIVE
kalambolisteelmarketyard kalamboli rtooffice repeating time needs thorough sanitisation done inspected precisely corona entire place worst unhygienic state corona one imagine panvelcorpkalambolisteelmarketyard kalamboli,mumbai,1,NEUTRAL
legends r born become lets become one good morning dears wonderful day may god bless family sufficient health wealth evergreen happiness peace injambakkam https www instagram com p b9gb2ianyzl igshid 4gzukhae4h4c,chennai,0,POSITIVE
like military asymmetry india pakistan also assymetry india china country unique security needs force strength decide win loss,hyderabad,1,NEUTRAL
looking politics india worst corona virus one day corona give us anyway politics killed people virus,mumbai,2,NEGATIVE
mamataofficial brother law stranded telengana mother seriously ill n admitted hospital hes procured pass cross telengana might problem states borders fall transit 91 85840 54483 would plz look,kolkata,1,NEGATIVE
mannkibaat experiences lockdown via namo appmannkibaat,delhi,1,NEUTRAL
may 29 covid19 kerala update today positive 62 33 abroad 23 states amp 7 primary contacts total cases 1150 active cases 577 total recoveries 565 total deaths 8 1 todaycovid19 kerala,chennai,1,NEUTRAL
may muslim political gain face minority friendly sad see discrimination based religion dr joginder must treat corona warrior due respectcorona,hyderabad,2,NEGATIVE
mecca medina closed vatican closed tirupati shirdi closed gods closed doors hospitals open 24 7 save amp serve mankind people survive theyll say thank god rolling floor laughing,kolkata,0,NEUTRAL
medi darzee healthcare offering face mask 2 5 amp 3 anti pollution mask prevent kind disease aware deadly disease like coronavirus kindly contact us requirement 3 ply 2 ply anti pollution mask facemask coronavirus medicalsuppliesfacemask coronavirus medicalsupplies,delhi,0,NEUTRAL
